degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.00027785543352365494,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4726829399352057,0.2968248702539318,0.0
2,0.0002640634775161743,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.3888352262374437,0.19477775102779507,0.0
2,0.00025639310479164124,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.42679747582941985,0.23850746558641606,0.0
2,0.0002579726278781891,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.40552550264040615,0.21349934243576107,0.0
3,0.0002929689362645149,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4085532248437034,0.2169803972910233,0.0
3,0.0002933358773589134,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7523177271566208,0.4179355138106274,0.0
3,0.0002813776955008507,True,0.7777777777777777,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.0,0.0,0.08450845139406932,0.010099858390609428,0.0
2,0.00026265811175107956,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.39314772507138757,0.19953923088903563,0.0
2,0.0002648867666721344,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4034946447001672,0.2111790048159812,0.0
2,0.0002526920288801193,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.40293270313679397,0.21053903393272258,0.0
3,0.00029668770730495453,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5859224151934843,0.46446423710009865,0.0
3,0.0002851393073797226,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4718977128492902,0.2957766802628866,0.0
3,0.0002981368452310562,True,0.7777777777777777,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.3590270439586897,0.1633135042039053,0.0
